Oona,Swigart,16076420,Oona.Swigart@college.harvard.edu,Leverett House
Hope,Quent,16435294,Hope.Quent@college.harvard.edu,Dunster House
Fayre,Vorster,11185066,Fayre.Vorster@college.harvard.edu,Adams House
Priscilla,Geffner,14666772,Priscilla.Geffner@college.harvard.edu,Leverett House
Madeleine,Stilwell,13502774,Madeleine.Stilwell@college.harvard.edu,Winthrop House
Deirdre,Khorma,11100518,Deirdre.Khorma@college.harvard.edu,Lowell House
Anthia,Blase,14657089,Anthia.Blase@college.harvard.edu,Cabot House
Diena,Shama,13777228,Diena.Shama@college.harvard.edu,Leverett House
Cristabel,Audly,19191289,Cristabel.Audly@college.harvard.edu,Cabot House
Misha,Tybald,15474105,Misha.Tybald@college.harvard.edu,Mather House
Carly,Haymes,10825876,Carly.Haymes@college.harvard.edu,Kirkland House
Chloris,Shaddock,14456015,Chloris.Shaddock@college.harvard.edu,Lowell House
Evita,Whittaker,16942112,Evita.Whittaker@college.harvard.edu,Dunster House
Fina,Zetta,17941504,Fina.Zetta@college.harvard.edu,Lowell House
Carolina,Ummersen,12399079,Carolina.Ummersen@college.harvard.edu,Quincy House
Roberta,Ingra,11936833,Roberta.Ingra@college.harvard.edu,Cabot House
Moyna,Dorothy,12556187,Moyna.Dorothy@college.harvard.edu,Currier House
Zondra,Cadmar,12486497,Zondra.Cadmar@college.harvard.edu,Quincy House
Gusty,Merat,11280490,Gusty.Merat@college.harvard.edu,Eliot House
Bertine,Merell,19533403,Bertine.Merell@college.harvard.edu,Quincy House
Pierette,Hutchison,16577108,Pierette.Hutchison@college.harvard.edu,Eliot House
Sue,Oneida,16223298,Sue.Oneida@college.harvard.edu,Pforzheimer House
Gale,Hermes,10553554,Gale.Hermes@college.harvard.edu,Leverett House
Inga,Bow,15657083,Inga.Bow@college.harvard.edu,Currier House
Jaclyn,Flita,18705071,Jaclyn.Flita@college.harvard.edu,Quincy House
Bernardine,Sophronia,16311101,Bernardine.Sophronia@college.harvard.edu,Winthrop House
Chrystel,Borrell,16164885,Chrystel.Borrell@college.harvard.edu,Kirkland House
Larine,Paton,14731172,Larine.Paton@college.harvard.edu,Adams House
Phedra,Lia,11868072,Phedra.Lia@college.harvard.edu,Kirkland House
Melanie,Merna,17144995,Melanie.Merna@college.harvard.edu,Cabot House
Emmey,Boehike,19456940,Emmey.Boehike@college.harvard.edu,Dunster House
Alejandra,Ehrman,16185753,Alejandra.Ehrman@college.harvard.edu,Winthrop House
Yetty,Monaco,14071918,Yetty.Monaco@college.harvard.edu,Mather House
Deirdre,Ioab,11777577,Deirdre.Ioab@college.harvard.edu,Currier House
Catrina,Persse,14686761,Catrina.Persse@college.harvard.edu,Eliot House
Heida,Izaak,13942697,Heida.Izaak@college.harvard.edu,Dunster House
Sharai,Meli,16097823,Sharai.Meli@college.harvard.edu,Mather House
Aryn,Hanleigh,19408239,Aryn.Hanleigh@college.harvard.edu,Mather House
Melina,Elsinore,13761016,Melina.Elsinore@college.harvard.edu,Cabot House
Elyssa,Wu,12316153,Elyssa.Wu@college.harvard.edu,Adams House
Penelopa,Harned,16443115,Penelopa.Harned@college.harvard.edu,Lowell House
Rozele,Wilkinson,15118764,Rozele.Wilkinson@college.harvard.edu,Cabot House
Melina,Jethro,15840321,Melina.Jethro@college.harvard.edu,Winthrop House
Jordan,Gilmour,10076614,Jordan.Gilmour@college.harvard.edu,Kirkland House
Ethel,Hartnett,11383680,Ethel.Hartnett@college.harvard.edu,Mather House
Collen,Garek,17585948,Collen.Garek@college.harvard.edu,Cabot House
Jenilee,Vastah,11949445,Jenilee.Vastah@college.harvard.edu,Pforzheimer House
Fredericka,Lane,12958619,Fredericka.Lane@college.harvard.edu,Lowell House
Asia,Demitria,19103295,Asia.Demitria@college.harvard.edu,Winthrop House
Ana,Scammon,10701460,Ana.Scammon@college.harvard.edu,Cabot House
